标准号,标准名称,省级CMA覆盖机构,CNAS覆盖机构,国家CMA覆盖机构,一单一库状态,是否覆盖
GB/T 3325-2024,金属家具通用技术条件,浙江省家具检验中心；广东省质检院；上海市质检院,华测检测(L0312),国家家具质检中心；中国建材总院,🟢 在库,✓ 已覆盖
GB/T 17657-2022,人造板及饰面人造板理化性能试验方法,浙江省家具检验中心；山东省质检院,,国家家具质检中心,🟢 在库,✓ 已覆盖
GB 18580-2017,室内装饰装修材料 人造板甲醛释放限量,,华测检测；广电计量,,🟡 仅引用,✓ 已覆盖
GB/T 39600-2021,人造板及其制品挥发性有机化合物释放量,,,,⚪ 不在库,✗ 未覆盖
GB/T 4893.1-2021,家具表面漆膜理化性能试验 第1部分：耐冷热温差,浙江；广东；上海；江苏；山东(5家),华测；广电；CTI,国家家具质检中心；建材总院；轻工检测院；纺织检测中心,🟢 在库,✓ 已覆盖
QB/T 2280-2016,办公家具 办公椅,浙江省家具检验中心,,,🔵 系列在库,✓ 已覆盖
GB/T 28202-2020,家具工业术语,,,,⚪ 不在库,✗ 未覆盖
GB 28481-2012,塑料家具中有害物质限量,广东省质检院；山东省质检院,华测检测,,🟡 仅引用,✓ 已覆盖
GB/T 10357.1-2013,家具力学性能试验 第1部分：桌类强度和耐久性,浙江省家具检验中心；广东省质检院,华测检测；CTI,国家家具质检中心,🟢 在库,✓ 已覆盖
GB 17927.1-2011,软体家具 床垫和沙发抗引燃特性 第1部分,,,,⚪ 不在库,✗ 未覆盖
